allInPings,assistMePings,assists,baitPings,baronKills,basicPings,bountyLevel,champExperience,champLevel,championId,championName,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,pushPings,quadraKills,sightWardsBoughtInGame,summonerLevel,teamEarlySurrendered,teamPosition,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
0,0,14,1,1,0,1,17173,17,1,Annie,3,4,2278,3495,2278,16593,0,6,0,0,0,3,1,False,False,False,False,False,False,0,13723,12700,0,1,2,0,4645,3157,3116,6653,1001,0,3363,24,3,10,128,4,1,526,121625,27789,13998,0,4,0,0,1,1,0,2,0,10195,954,7680,0,0,0,447,False,MIDDLE,37,1927,0,136146,30811,1470,22958,0,3506,0,192,401,198,1,0,4325,2066,1279,1,4,5,0,14,0,1,9,True
0,9,21,0,0,0,1,13216,15,350,Yuumi,46,7,875,987,875,3860,0,4,4,0,0,6,0,False,False,False,False,False,False,12,9822,8425,0,0,2,0,3853,2065,4642,3504,3011,2055,3364,22,0,3,0,0,1,616,9279,6328,4169,0,8,0,0,1,0,0,15,0,707,323,3862,0,0,0,396,False,UTILITY,20,1927,4,10616,7282,6902,8285,0,4972,4682,2,188,122,4,0,630,630,253,0,5,5,0,58,5,1,27,True
1,6,8,0,0,0,0,13186,15,498,Xayah,10,3,4712,25197,4712,10688,0,5,0,0,0,19,0,False,False,False,False,False,False,0,13239,12600,1,0,1,0,6675,1055,3036,3087,3006,1053,3363,27,2,7,550,3,1,600,34542,2786,12877,0,26,0,0,1,0,0,16,0,168162,21533,8460,0,0,0,222,False,BOTTOM,18,1927,19,206851,24722,0,22155,4,3403,0,209,69,168,1,0,4147,402,817,2,3,5,0,20,0,3,9,True
0,0,10,1,0,0,0,15609,16,54,Malphite,16,1,1111,3871,1111,55886,0,6,1,0,0,18,0,False,False,False,False,False,False,0,11250,10975,0,0,0,2,2033,3075,3047,6662,3110,1057,3363,18,0,2,85,0,1,665,65646,12563,13417,0,8,0,1,0,0,0,4,0,74092,8122,12245,0,0,0,559,False,TOP,44,1927,4,143145,20685,0,26708,4,1401,0,197,1723,226,1,0,3405,0,1045,1,1,8,0,33,1,0,10,False
0,0,6,0,0,0,0,14069,15,221,Zeri,2,1,2459,7329,2459,11863,0,8,0,2,0,2,0,False,False,False,False,False,False,0,14377,14350,1,0,0,2,3085,6672,6675,3006,3072,0,3363,24,3,6,1037,2,2,490,26824,3483,6808,0,22,0,1,0,0,0,0,0,115655,8159,15823,0,0,0,375,False,BOTTOM,5,1927,20,176037,11994,0,23626,0,2776,0,212,98,232,1,0,33557,350,994,2,2,8,0,17,0,4,7,False
0,0,6,0,0,0,0,15491,16,157,Yasuo,1,1,4174,24430,4174,32887,0,10,0,0,0,6,0,False,False,False,True,False,False,0,16411,15733,1,0,0,2,6333,3006,3087,3078,3072,3051,3340,21,4,9,562,3,1,324,69671,2899,15547,0,28,0,1,0,0,0,5,0,165349,15138,13515,0,0,0,474,False,MIDDLE,29,1927,22,244456,18868,0,31743,0,9431,0,192,204,337,1,0,9435,830,2680,2,2,8,0,18,0,2,9,False
0,22,11,0,1,0,0,12772,14,79,Gragas,0,4,410,23126,410,28056,0,8,2,0,2,4,0,False,False,False,False,False,False,1,12229,12050,0,0,0,2,4645,4636,3157,3020,3145,0,3340,23,2,8,0,4,1,339,125931,18909,11563,0,122,0,1,0,0,0,18,0,20013,1375,25855,2,0,0,423,False,JUNGLE,34,1927,85,175236,21853,0,38130,6,16058,0,25,374,225,1,0,29291,1567,710,0,1,8,0,31,2,2,11,False
0,0,12,0,0,0,1,10508,13,517,Sylas,19,2,1342,13899,1342,16457,0,11,0,0,0,6,2,False,False,False,False,False,False,0,10100,9300,0,0,0,2,3916,6656,3853,3020,3108,3157,3364,18,0,3,0,0,1,315,49252,19015,9789,0,4,0,1,0,0,0,1,0,2776,1170,18370,0,0,0,269,False,UTILITY,31,1927,0,57672,21723,0,28772,0,3130,0,31,146,269,1,0,5643,1537,613,0,2,8,0,63,0,5,25,False
0,2,2,0,0,0,0,12598,14,68,Rumble,1,2,1030,1030,1030,24195,0,9,0,0,0,10,0,False,False,False,False,False,False,0,8870,8635,1,0,0,2,4637,3152,3009,1052,1028,0,3340,19,2,6,0,3,1,414,70641,13224,14526,0,0,0,1,0,0,0,4,0,10552,741,14961,0,0,0,450,False,TOP,12,1635,0,81193,13965,0,29962,0,2800,0,151,217,262,1,0,0,0,474,0,0,9,0,15,0,2,8,False
0,1,7,0,0,0,0,10675,13,81,Ezreal,8,2,3918,13029,3918,8835,0,4,0,1,0,4,1,False,False,True,False,False,False,0,11735,11900,0,0,0,2,3087,1036,3508,3158,6694,1036,3363,19,1,7,441,5,3,932,42049,4580,7840,0,0,0,1,0,0,0,6,0,121605,14162,9289,0,0,0,222,False,BOTTOM,5,1635,0,167855,18841,0,17776,0,5634,0,193,63,104,1,1,4201,98,646,0,1,9,0,10,0,0,8,False
0,1,7,0,0,0,0,14597,15,1,Annie,0,2,535,1434,535,16624,0,3,0,0,0,4,0,True,False,False,False,False,False,0,9277,8085,0,0,0,2,1056,3157,6657,1052,1001,1011,3340,18,2,5,87,2,1,1107,60764,12330,14406,0,0,0,1,0,0,0,6,0,11042,1131,7627,0,0,0,447,False,MIDDLE,24,1635,0,72387,14043,1152,22449,0,5046,0,146,158,81,1,0,581,581,414,0,0,9,0,13,0,1,7,False
3,1,9,2,0,0,0,10942,13,79,Gragas,17,1,0,23748,0,23503,0,6,0,2,3,6,2,False,True,False,False,False,False,0,11507,10450,0,0,0,2,3145,3157,4636,3158,3041,0,3364,17,2,13,0,9,3,824,103634,14047,17309,0,88,0,1,0,0,0,12,0,15307,1883,16418,0,0,0,272,False,JUNGLE,36,1635,62,145122,17058,0,35024,6,13392,0,33,379,212,1,1,26179,1126,1297,0,0,9,1,11,0,2,3,False
0,9,14,0,0,0,0,8312,11,40,Janna,18,8,1062,1267,1062,7925,0,6,4,0,0,7,0,False,False,False,True,False,False,1,7200,6875,0,0,0,2,3853,6617,4005,3070,2055,3158,3364,19,0,1,0,0,1,510,18494,2727,4007,0,0,0,1,0,0,0,15,0,4084,297,8484,1,0,0,396,False,UTILITY,35,1635,0,23013,3459,6027,12920,0,3705,2159,34,164,162,8,0,434,434,428,1,1,9,0,45,5,4,18,False
0,2,7,0,0,0,2,14121,15,126,Jayce,0,5,10202,16930,10202,12716,0,5,3,0,0,2,1,False,False,False,False,False,False,0,11240,10225,0,1,2,0,1055,0,3156,3042,3158,6692,3363,24,1,2,0,2,1,543,21326,2967,9612,1,28,1,0,1,0,0,4,0,160515,14243,6428,0,0,0,35,False,TOP,9,1635,0,182599,17314,0,16128,17,2214,0,195,171,152,1,0,758,103,87,3,5,1,0,22,3,1,11,True
1,0,4,0,1,0,3,13266,15,517,Sylas,3,3,2905,30391,2905,27280,0,6,1,2,1,8,0,False,False,False,False,False,False,0,12932,11110,0,1,2,0,3157,4636,1082,3102,3020,1052,3364,23,3,11,0,3,3,470,120790,23899,16555,0,124,0,0,1,0,0,19,0,11670,121,17359,0,0,0,226,False,JUNGLE,19,1635,83,174894,24669,0,35031,8,15739,0,17,377,179,1,1,42433,648,1117,2,3,1,0,19,1,1,1,True
0,0,6,0,0,0,0,12497,14,45,Veigar,5,2,2793,5764,2793,9916,0,9,0,1,0,2,0,False,False,False,False,False,False,0,10929,10100,0,0,0,0,2031,4644,1058,3020,4629,1058,3363,20,1,4,0,3,2,296,113786,23680,12753,0,0,0,0,0,0,0,14,0,12352,2014,6693,0,0,0,211,False,MIDDLE,24,1635,0,127139,26460,0,20058,0,506,0,168,123,274,1,0,1000,766,611,2,3,1,0,11,0,2,10,True
2,0,11,0,0,0,0,12658,14,523,Aphelios,0,1,9284,19679,9284,21785,0,8,0,3,0,4,0,False,False,False,False,False,False,1,13506,12100,1,0,1,0,6671,6672,3006,3156,1038,0,3363,25,2,9,679,5,2,326,6457,1317,9901,0,40,0,0,0,0,0,2,0,167455,23699,10013,0,0,0,472,False,BOTTOM,17,1635,24,177095,25566,0,20251,12,4938,0,143,274,145,1,0,3181,549,336,2,5,1,0,16,0,5,7,True
0,0,19,2,0,0,0,11225,13,350,Yuumi,0,7,0,452,0,2996,0,4,5,0,0,14,0,False,False,False,False,False,False,1,7935,6975,0,0,2,0,3853,2065,2055,3504,3916,3113,3364,19,0,1,0,0,1,453,8599,5828,2112,0,0,0,0,1,0,0,0,0,492,81,3751,0,0,0,36,False,UTILITY,16,1635,0,10286,7103,7160,5951,0,3261,2567,1,157,84,4,0,1194,1194,87,0,7,1,0,31,7,0,18,True
1,2,6,0,0,0,0,20186,18,24,Jax,4,3,4188,24146,4188,32352,0,3,1,1,1,10,0,False,True,False,False,False,False,0,14443,13925,0,0,0,0,3071,4401,3153,6632,3047,0,3340,21,2,7,0,4,2,981,55702,11543,6519,0,20,1,0,1,0,0,15,0,127874,16540,21903,0,0,0,450,False,TOP,19,2070,4,185330,28357,0,29526,4,11450,0,226,115,153,1,0,1753,273,1103,2,2,3,0,28,1,4,10,True
0,0,12,0,2,0,0,18355,17,234,Viego,3,3,2184,42943,2184,40760,0,4,1,0,2,0,0,False,False,False,False,False,False,0,13686,11758,0,0,1,0,3111,3078,1053,3071,3026,0,3364,19,1,6,0,5,1,1045,9368,1752,13866,0,169,0,0,0,1,0,5,0,186445,15151,22994,0,0,0,396,False,JUNGLE,18,2070,123,247287,18798,0,41418,8,23827,0,25,245,110,1,0,51473,1894,4557,3,3,3,0,25,3,8,1,True
0,0,7,0,0,0,3,20530,18,1,Annie,0,2,4265,7531,4265,31083,0,3,0,1,0,2,0,False,False,False,False,False,False,0,16489,13450,0,1,1,0,4645,3157,6657,3116,1001,1058,3340,20,4,12,173,4,3,744,147912,27548,13729,0,0,0,0,0,0,0,14,0,16023,694,19553,0,0,0,447,False,MIDDLE,51,2070,0,169363,30199,4614,34727,0,16432,0,243,519,128,1,1,5428,1957,1445,1,6,3,0,18,0,2,9,True
0,0,6,0,0,0,1,16072,16,222,Jinx,5,3,6157,20338,6157,13631,0,6,0,0,1,5,2,False,False,False,False,False,False,0,14192,13150,0,0,0,0,6671,6672,1038,3036,3006,1053,3363,18,0,4,577,0,1,719,1167,487,11245,0,24,0,0,0,0,0,7,0,214206,22258,13160,0,0,0,222,False,BOTTOM,17,2070,18,216903,23865,0,25105,0,8470,0,263,91,255,1,0,1528,1118,699,2,4,3,0,21,0,2,10,True
0,5,10,0,0,0,1,13444,15,12,Alistar,11,3,2408,3402,2408,46858,0,5,1,0,0,5,6,False,False,False,False,False,False,1,8581,6125,0,0,1,0,3860,3117,6667,3023,3801,0,3364,18,0,1,0,0,1,728,15349,8075,16282,1,0,0,0,1,0,0,14,0,7167,809,16852,0,0,0,271,False,UTILITY,59,2070,0,29094,10338,0,35932,0,20552,7775,39,106,152,5,0,6577,1453,2798,1,3,3,1,77,1,10,25,True
0,4,6,5,0,0,1,15550,16,150,Gnar,2,4,2080,5517,2080,33728,0,9,3,0,0,11,0,False,False,False,False,False,False,1,11966,11075,0,0,0,2,3075,6632,3071,0,3047,0,3340,22,0,3,23,0,1,675,11917,3129,15420,0,0,0,1,0,0,0,20,0,110229,14646,18963,0,0,0,484,False,TOP,38,2070,0,125483,17895,0,35381,0,3913,0,181,494,329,1,0,3336,120,997,1,1,9,1,28,3,2,13,False
0,0,10,0,0,0,0,17589,17,64,LeeSin,8,8,128,26661,128,58059,0,4,5,1,1,8,2,False,False,False,False,False,False,6,14407,13675,0,0,0,2,6630,3077,2055,6333,3071,3047,3340,29,2,8,0,4,2,807,45064,4092,11895,0,178,0,1,0,0,0,12,0,169653,19760,24948,0,0,0,773,False,JUNGLE,32,2070,135,265567,27641,1226,40950,8,23430,0,58,613,133,1,0,50848,3788,4106,0,0,9,0,30,7,3,13,False
0,0,5,1,0,0,0,17320,17,81,Ezreal,17,5,3941,5187,3941,10995,0,6,5,0,0,6,0,False,False,False,False,False,False,0,13867,13525,0,0,0,2,3100,4645,0,3087,6655,3020,3363,23,0,3,250,0,1,815,141076,25699,8607,0,0,0,1,0,0,0,5,0,89445,7978,8260,2,0,0,697,False,MIDDLE,0,2070,0,236787,35092,0,17564,0,659,0,264,23,161,1,0,6265,1414,696,0,0,9,0,24,5,2,14,False
0,0,5,0,0,0,0,12489,14,145,Kaisa,10,5,2524,15981,2524,12574,0,4,2,1,0,7,1,False,False,False,True,False,False,1,13955,12870,0,0,0,2,3115,2421,3006,3087,3124,3108,3363,29,1,6,270,3,2,1177,116374,18216,7483,0,17,0,1,0,0,0,5,0,78373,8623,9264,0,0,0,482,False,BOTTOM,1,2070,13,201962,27019,0,17299,0,2534,0,227,76,167,1,0,7215,179,550,2,2,9,0,23,3,2,7,False
0,0,14,0,0,0,0,12622,14,526,Rell,10,8,0,1808,0,45216,0,7,6,0,0,4,8,False,False,False,False,False,False,0,7866,7450,0,0,0,2,3860,1028,3190,3075,0,3047,3364,21,0,1,24,0,1,667,13399,6792,9905,0,0,0,1,0,0,0,0,0,5834,1183,12676,0,0,0,461,False,UTILITY,43,2070,0,27583,9078,1924,23447,0,1920,0,33,71,215,1,0,8349,1102,866,0,0,9,0,72,6,5,36,False
0,0,3,0,0,0,0,12686,14,266,Aatrox,0,2,4005,4856,4005,20824,0,7,1,1,0,1,0,False,True,False,False,False,False,0,12535,11125,0,0,0,0,3111,3156,6692,3074,0,1055,3364,22,3,13,0,6,2,596,0,0,7482,0,4,0,0,0,0,0,4,0,107417,22376,17130,0,0,0,688,False,TOP,16,1398,0,108025,22881,0,28898,2,10628,0,145,100,189,1,0,608,505,4285,1,1,1,0,16,1,0,3,True
0,2,8,0,0,0,0,12542,14,64,LeeSin,17,8,2824,49514,2824,24472,0,5,5,1,2,4,0,True,False,False,True,False,False,0,13298,12200,0,0,0,0,3071,2055,6692,3111,1037,6333,3340,22,2,12,0,6,3,548,43022,2415,5387,0,123,0,0,0,0,0,9,0,117282,13669,17668,0,0,0,391,False,JUNGLE,16,1398,57,202586,17042,340,24220,32,12362,0,49,475,102,1,1,42281,957,1165,3,3,1,0,27,7,4,10,True
0,0,7,0,0,0,0,11505,14,157,Yasuo,3,1,4559,8821,4559,12652,0,2,0,0,0,3,0,False,False,False,False,False,False,0,9675,8900,0,0,0,0,1054,3051,1042,3156,3111,6692,3340,14,1,3,0,3,1,1239,10702,964,3158,0,4,0,0,0,0,0,6,0,88105,7679,7580,0,0,0,378,False,MIDDLE,8,1398,0,99523,9360,0,11648,0,1421,0,132,71,50,1,0,716,716,909,1,1,1,0,15,0,3,6,True
0,0,10,0,0,0,4,10727,13,202,Jhin,2,2,5667,14439,5667,3585,0,2,1,2,1,7,0,True,False,False,False,False,False,0,11030,9825,0,1,1,0,6671,3095,1055,3009,3086,2015,3363,19,3,9,1129,4,2,750,7310,734,3964,0,8,1,0,1,0,0,2,0,91032,11440,4469,0,0,0,223,False,BOTTOM,29,1398,4,98432,12210,0,8932,0,3801,0,133,74,31,1,0,90,36,497,3,4,1,0,14,1,2,6,True
0,0,14,0,1,0,1,10722,13,74,Heimerdinger,5,8,1733,6647,1733,5366,0,3,4,0,0,0,0,True,False,False,False,False,False,0,10679,8900,0,0,1,0,2055,3145,3853,6653,3020,3116,3364,23,2,8,0,4,1,559,75196,28128,6405,0,12,0,0,0,0,0,5,0,3891,1256,6837,0,0,0,641,False,UTILITY,36,1398,4,79649,29947,0,13426,0,3148,0,55,255,63,1,0,562,562,183,0,1,1,0,56,6,4,25,True
0,0,9,0,0,0,0,10972,13,17,Teemo,4,3,2530,5817,2530,9765,0,7,0,0,0,3,0,False,False,False,False,False,False,0,8420,8075,0,0,0,1,2055,1055,3087,3115,3020,0,3340,18,1,3,256,2,1,543,63953,7513,3152,0,0,0,1,0,0,0,5,0,39581,5963,16697,0,0,0,222,False,TOP,18,1398,0,104551,14493,0,20216,0,4556,0,151,218,114,1,0,1016,1016,366,1,1,8,0,8,1,0,6,False
0,3,4,0,0,0,0,10244,13,5,XinZhao,10,7,906,8880,906,16690,0,9,6,0,0,21,0,False,False,False,False,False,False,1,10634,10250,0,0,0,1,6692,3508,0,0,1001,6676,3340,24,2,5,557,2,1,238,5238,660,6668,0,91,0,1,0,0,0,10,0,97593,12105,18780,0,0,0,395,False,JUNGLE,16,1398,68,125115,14049,0,26388,12,11207,0,46,359,217,1,0,22283,1283,939,0,1,8,0,23,6,2,13,False
0,0,4,0,0,0,0,7588,11,1,Annie,3,2,0,0,0,8598,0,12,0,0,0,1,0,False,False,False,False,False,False,0,7160,7035,0,0,0,1,1056,2424,6653,3116,1052,1001,3340,16,1,3,68,2,1,160,38000,9833,4769,0,0,0,1,0,0,0,3,0,6139,865,11813,0,0,0,445,False,MIDDLE,22,1398,0,45403,11961,210,16769,0,0,0,95,168,284,0,0,1262,1262,186,0,0,8,0,3,0,1,1,False
0,2,10,1,0,0,0,8581,12,81,Ezreal,0,2,0,6975,0,8371,0,10,0,0,0,16,0,False,False,False,False,False,False,1,7986,7833,2,0,0,1,3042,2031,3078,1036,1036,3158,3363,17,0,3,0,0,1,377,7649,3435,9081,0,2,0,1,0,0,0,3,0,69955,10561,12044,0,0,0,192,False,BOTTOM,0,1398,2,85948,14013,0,21466,0,3222,258,123,33,194,2,0,8343,16,341,0,0,8,0,11,0,1,6,False
0,0,7,0,0,0,1,6398,10,412,Thresh,0,2,0,64,0,12259,0,7,0,0,0,10,0,False,False,False,False,False,False,0,7063,5750,0,0,0,1,3855,2065,2031,3111,1011,3076,3364,15,2,5,0,2,1,416,6724,3177,10592,0,0,0,1,0,0,0,3,0,5680,1074,11436,0,0,0,226,False,UTILITY,28,1398,0,16499,4658,293,22972,0,1003,0,26,191,172,1,0,4094,406,942,0,0,8,0,15,0,3,6,False
0,0,9,0,0,0,0,15344,16,14,Sion,5,5,9600,10832,9600,50235,0,4,1,0,0,1,0,False,False,False,False,False,False,0,12131,11875,0,1,1,0,3084,3068,3075,1028,3077,3047,3363,28,0,3,33,0,1,935,42640,7519,14463,0,8,0,0,1,0,0,3,0,101553,7931,15752,0,0,0,173,False,MIDDLE,21,1619,8,153472,15454,0,33392,0,2929,0,189,440,168,1,0,9279,4,3176,3,4,1,0,21,1,1,9,True
1,0,9,0,1,0,0,12775,14,517,Sylas,8,7,1285,35301,1285,21911,0,5,3,0,1,7,1,False,False,False,False,False,False,5,12218,11975,0,0,2,0,3145,3157,2055,4636,3020,4645,3364,25,1,7,0,6,1,670,118345,16072,7492,0,123,0,0,0,0,0,11,0,10254,697,23945,0,0,0,65,False,JUNGLE,12,1619,67,174744,17458,0,32532,23,15844,0,27,376,143,1,0,46145,688,1094,1,1,1,0,18,5,3,3,True
0,0,11,0,0,0,1,14138,15,81,Ezreal,0,1,9497,39574,9497,14042,0,6,0,3,1,1,0,False,False,False,False,False,False,0,15360,14533,1,3,3,0,3156,3158,3042,3078,6694,3082,3363,25,4,14,0,4,2,425,21278,8007,4280,0,12,1,0,1,0,0,0,0,148636,17862,17378,0,0,0,109,False,BOTTOM,6,1619,4,171154,26219,0,23599,0,8032,698,175,79,203,4,0,1238,348,1940,4,5,1,0,12,0,0,7,True
